Breadcrumbs,Product Name,Selling Price,Regular Price,Discount Percentage,Color,Sizes Available,Product URL,data_source_url
Women › New Arrivals,Mila Stretch Capri Denim Jeans - Vintage Wash,$14.99,$24.99,40% OFF,"Dark Wash, Vintage Wash","1, 3, 5, 7, 9, 11, 13",https://www.fashionnova.com/products/mila-stretch-capri-denim-jeans-fncolorname-vintage-wash,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Devon Ruched Drawstring Mock Neck Top - ButterYellow,$13.49,$22.99,40% OFF,ButterYellow,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/devon-ruched-drawstring-mock-neck-top-fncolorname-butteryellow,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Mickey Mouse And Pluto Drop Shoulder Tee - White,$11.99,$19.99,40% OFF,White,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/mickey-mouse-and-pluto-drop-shoulder-tee-fncolorname-white,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Amelia Striped Maxi Dress - Brown/combo,$20.99,$34.99,40% OFF,Brown/combo,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/amelia-striped-maxi-dress-fncolorname-brown-combo,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Day Out Smocked Gingham Chiffon Top - Black/White,$16.49,$27.99,40% OFF,Black/White,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/day-out-smocked-gingham-chiffon-top-fncolorname-black-white,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Feeling Fine Sunglasses - Black,$5.99,$9.99,40% OFF,Black,,https://www.fashionnova.com/products/feeling-fine-sunglasses-fncolorname-black,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Baddie Asymmetrical Maxi Dress - Off White,$23.99,$39.99,40% OFF,Off White,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/baddie-asymmetrical-maxi-dress-fncolorname-off-white,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Drinks On Me 2pc Tankini - Brown/combo,$15.99,$26.99,40% OFF,Brown/combo,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/drinks-on-me-2pc-tankini-fncolorname-brown-combo,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Second Skin Double Lined Lace Trim Cami Maxi Dress - Black,$26.99,$44.99,40% OFF,Black,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/second-skin-double-lined-lace-trim-cami-maxi-dress-fncolorname-black,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Libby Fleece Sweat Short - Heather Grey,$8.00,$14.99,DEALS,Heather Grey,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/libby-fleece-sweat-short-fncolorname-heather-grey,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Feel The Breeze Crochet Short Set - Navy,$23.99,$39.99,40% OFF,Navy,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/feel-the-breeze-crochet-short-set-navy,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,CloudForm™ High Waist 5″ Side Pocket Biker Short - Pistachio,$22,$38,40% OFF,Pistachio,"XXS, XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/cloudform-high-waist-5-side-pocket-biker-short-pistachio,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Rosa Textured Sleeveless Romper - Chocolate,$17.99,$29.99,40% OFF,Chocolate,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/rosa-textured-sleeveless-romper-fncolorname-chocolate,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Livana Wrap Up Novelty Wedges - Chocolate,$19.49,$32.99,40% OFF,Chocolate,"5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 10, 11",https://www.fashionnova.com/products/livana-wrap-up-novelty-wedges-fncolorname-chocolate,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,On The Horizon Crochet Halter Top - Terracotta,$17.99,$29.99,40% OFF,Terracotta,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/on-the-horizon-crochet-halter-top-fncolorname-terracotta,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Strollin' Around Pant Set - Light Blue,$20.99,$34.99,40% OFF,Light Blue,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/strollin-around-pant-set-fncolorname-light-blue,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Josie Padded Sweetheart Neck Spaghetti Strap Bodysuit - Cream,$11.99,$19.99,40% OFF,Cream,"XS, S, M, L, XL",https://www.fashionnova.com/products/josie-padded-sweetheart-neck-spaghetti-strap-bodysuit-fncolorname-cream,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Athletic Oversized Polo - Red/White,$23.99,$39.99,40% OFF,Red/White,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/athletic-oversized-polo-fncolorname-red-white,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Pretty With Purpose Maxi Dress - Green,$35.99,$59.99,40% OFF,Green,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/pretty-with-purpose-maxi-dress-fncolorname-green,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
