product_name,website,product_price,image1,image2,image3,description,product_url
Fairtrade Passionsfrucht,lidl.ch,0.79,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80747_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/12916/s/fairtrade-passionsfrucht-0080747/category/64/
Bio Snack Rüebli,lidl.ch,1.79,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/4/84449_OGFG.jpg,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/4/84449_PSXX.jpg,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/14853/s/bio-snack-rueebli-0084449/category/64/
Bio Buschbohnen,lidl.ch,3.39,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/4/84387_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/14170/s/bio-buschbohnen-0084387/category/64/
Schweizer Zwiebeln gelb,lidl.ch,1.49,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/3/83331_OGFG.jpg,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/15449/s/schweizer-zwiebeln-gelb-0083331/category/64/
Fairtrade Bio Bananen,lidl.ch,2.69,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/1/81510_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/12782/s/fairtrade-bio-bananen-0081510/category/64/
Schweizer Kohlrabi,lidl.ch,1.59,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/2/82735_OGFG.jpg,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/13738/s/schweizer-kohlrabi-0082735/category/64/
Schweizer Fenchel,lidl.ch,3.49,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/2/82690_OGFG.jpg,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/13691/s/schweizer-fenchel-0082690/category/64/
Granatapfel,lidl.ch,1.79,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80646_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/12901/s/granatapfel-0080646/category/64/
Ananas Extra sweet,lidl.ch,2.29,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80611_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/12895/s/ananas-extra-sweet-0080611/category/64/
Süsskartoffeln,lidl.ch,1.79,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80755_OGFG_1.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/12917/s/suesskartoffeln-0080755/category/64/
Schweizer Chicorée,lidl.ch,1.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/2/82015_OGFG.jpg,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/11844/s/schweizer-chicoree-0082015/category/64/
Schweizer Lauchzwiebeln,lidl.ch,1.59,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/2/82236_OGFG.jpg,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/11821/s/schweizer-lauchzwiebeln-0082236/category/64/
Zwiebeln rot,lidl.ch,1.29,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/3/83352_OGFG.jpg,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/11787/s/zwiebeln-rot-0083352/category/64/
Schweizer Zuckermais,lidl.ch,2.85,,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/21565/s/schweizer-zuckermais-0082862/category/64/
Schweizer Bio Auberginen,lidl.ch,6.49,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/4/84397_BioAubergine_FKBA.jpg,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/21541/s/schweizer-bio-auberginen-0084397/category/64/
Pfirsiche,lidl.ch,2.99,,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/21521/s/pfirsiche-0080401/category/64/
Nektarinen,lidl.ch,2.99,,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/21520/s/nektarinen-0080386/category/64/
Kirschen im Beutel,lidl.ch,9.9,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80356_KirschenmitBeutel_PSXX.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/21511/s/kirschen-im-beutel-0080356/category/64/
Schweizer Kartoffeln,lidl.ch,2.89,,,,festkochend,https://sortiment.lidl.ch/de/catalog/product/view/id/21416/s/schweizer-kartoffeln-0083205/category/64/
Basilikum im Topf XXL,lidl.ch,2.49,,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/21412/s/basilikum-im-topf-xxl-0083540/category/64/
Avocado,lidl.ch,1.29,,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/21369/s/avocado-0080737/category/64/
Schweizer Bio Snack Gurken,lidl.ch,1.99,,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/21343/s/schweizer-bio-snack-gurken-0084522/category/64/
Schweizer Mini Tomaten mix,lidl.ch,2.49,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/2/82423_OGAX.jpg,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/21244/s/schweizer-mini-tomaten-mix-0082423/category/64/
Minze geschnitten,lidl.ch,1.49,,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/21107/s/minze-geschnitten-0083073/category/64/
Paprika grün Spitz Grill & Back,lidl.ch,1.79,,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/21072/s/paprika-gruen-spitz-grill-back-0082553/category/64/
Schweizer Apfel grün,lidl.ch,2.19,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80189_OGAX.jpg,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/20970/s/schweizer-apfel-gruen-0080189/category/64/
Koriander,lidl.ch,0.99,,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/20939/s/koriander-0083110/category/64/
Dill,lidl.ch,1.99,,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/20870/s/dill-0083080/category/64/
Cherryrispentomaten,lidl.ch,3.79,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/2/82387_OGAX.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/20784/s/cherryrispentomaten-0082387/category/64/
Paprika rot,lidl.ch,1.89,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/2/82620_OGAX.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/20756/s/paprika-rot-0082620/category/64/
Avocado,lidl.ch,1.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80620_OGAX.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/20677/s/avocado-0080620/category/64/
Orangen,lidl.ch,4.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80144_OGAX.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/20675/s/orangen-0080144/category/64/
Schweizer Karotten,lidl.ch,2.89,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/2/82762_OGAX.jpg,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/20571/s/schweizer-karotten-0082762/category/64/
Bio Paprika Mix,lidl.ch,1.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/4/84406_OGAX.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/20570/s/bio-paprika-mix-0084406/category/64/
Bio Ingwer lose,lidl.ch,4.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/1/81724_Bio_Ingwer_lose_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/20297/s/bio-ingwer-lose-0081724/category/64/
Schweizer Bio Rüebli Mix,lidl.ch,2.39,,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/20013/s/schweizer-bio-rueebli-mix-0084609/category/64/
Soloknoblauch,lidl.ch,2.49,,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/19679/s/soloknoblauch-0082709/category/64/
Beerenmix,lidl.ch,4.49,,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/19452/s/beerenmix-0080871/category/64/
Schweizer Erdbeeren,lidl.ch,5.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80810_OGAX.jpg,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80810_OGFG.jpg,,,https://sortiment.lidl.ch/de/catalog/product/view/id/19373/s/schweizer-erdbeeren-0080810/category/64/
Bio Baby Wassermelone,lidl.ch,2.75,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/1/81654_OGAX.jpg,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/1/81654_OGFG.jpg,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/19372/s/bio-baby-wassermelone-0081654/category/64/
Zuckermelone Piel de Sapo,lidl.ch,2.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80580_OGAX.jpg,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80580_OGFG.jpg,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/19371/s/zuckermelone-piel-de-sapo-0080580/category/64/
Honigmelone,lidl.ch,1.69,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80550_OGAX.jpg,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80550_OGFG.jpg,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/19370/s/honigmelone-0080550/category/64/
Schweizer Rispentomaten,lidl.ch,3.89,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/2/82466_OGAX.jpg,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/19262/s/schweizer-rispentomaten-0082466/category/64/
Schweizer Cherryrispen-,lidl.ch,4.49,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/2/82393_PSXX.jpg,,,tomaten,https://sortiment.lidl.ch/de/catalog/product/view/id/19222/s/schweizer-cherryrispen--0082393/category/64/
Schweizer Gurken,lidl.ch,1.49,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/2/82233_OGAX.jpg,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/2/82233_OGFG.jpg,,,https://sortiment.lidl.ch/de/catalog/product/view/id/19153/s/schweizer-gurken-0082233/category/64/
Kiwi,lidl.ch,3.49,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80680_OGAX.jpg,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80680_OGFG.jpg,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/19106/s/kiwi-0080680/category/64/
Cantaloupmelone,lidl.ch,2.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80535_OGAX.jpg,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80535_OGFG.jpg,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/18877/s/cantaloupmelone-0080535/category/64/
Galiamelone,lidl.ch,2.79,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80545_OGAX.jpg,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80545_OGFG.jpg,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/18728/s/galiamelone-0080545/category/64/
Mandarinen,lidl.ch,3.79,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80090_OGAX.jpg,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80090_OGFG.jpg,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/18500/s/mandarinen-0080090/category/64/
Mango,lidl.ch,2.79,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80715_PSXX.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/18376/s/mango-0080715/category/64/
Schweizer Kartoffeln,lidl.ch,2.89,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/3/83245_OGAX.jpg,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/3/83245_OGFG.jpg,,vorw. festkochend,https://sortiment.lidl.ch/de/catalog/product/view/id/18224/s/schweizer-kartoffeln-0083245/category/64/
"Spitzpaprika grün, scharf",lidl.ch,1.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/2/82577_OGAX.jpg,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/2/82577_OGFG.jpg,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/17603/s/spitzpaprika-gruen-scharf-0082577/category/64/
Schweizer Kartoffeln,lidl.ch,2.89,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/3/83225_OGAX.jpg,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/3/83225_OGFG.jpg,,,https://sortiment.lidl.ch/de/catalog/product/view/id/17301/s/schweizer-kartoffeln-0083225/category/64/
Ebly Zartweizen,lidl.ch,6.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/9/8998_PSXX.jpg,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/17137/s/ebly-zartweizen-0008998/category/64/
Schweizer Kartoffeln,lidl.ch,2.89,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/3/83275_OGAX.jpg,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/3/83275_OGFG.jpg,,mehligkochend,https://sortiment.lidl.ch/de/catalog/product/view/id/16980/s/schweizer-kartoffeln-0083275/category/64/
Blumenkohl und Broccoli Mini Mix,lidl.ch,2.49,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/2/82887_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/16547/s/blumenkohl-und-broccoli-mini-mix-0082887/category/64/
Schweizer Saucenzwiebeln Mix,lidl.ch,0.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/3/83343_OGFG.jpg,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/16529/s/schweizer-saucenzwiebeln-mix-0083343/category/64/
Schweizer Rüebli,lidl.ch,1.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/2/82755_OGAX.jpg,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/2/82755_OGFG.jpg,,,https://sortiment.lidl.ch/de/catalog/product/view/id/16457/s/schweizer-rueebli-0082755/category/64/
Schweizer Pak Choi,lidl.ch,2.79,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/2/82923_OGAX.jpg,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/2/82923_OGFG.jpg,,,https://sortiment.lidl.ch/de/catalog/product/view/id/16197/s/schweizer-pak-choi-0082923/category/64/
Schweizer Dattelcherrytomaten,lidl.ch,3.29,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/2/82410_OGAX.jpg,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/16087/s/schweizer-dattelcherrytomaten-0082410/category/64/
Schweizer Kartoffeln,lidl.ch,1.75,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/3/83223_OGAX.jpg,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/16055/s/schweizer-kartoffeln-0083223/category/64/
Heidelbeeren,lidl.ch,3.95,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80818_Heidelbeeren_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/15968/s/heidelbeeren-0080818/category/64/
Bio Champignons braun,lidl.ch,1.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/4/84597_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/15947/s/bio-champignons-braun-0084597/category/64/
Kirschen,lidl.ch,3.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80363_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/15878/s/kirschen-0080363/category/64/
