product_name,website,product_url
Fairtrade Passionsfrucht,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12916/s/fairtrade-passionsfrucht-0080747/category/64/
Bio Snack Rüebli,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/14853/s/bio-snack-rueebli-0084449/category/64/
Bio Buschbohnen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/14170/s/bio-buschbohnen-0084387/category/64/
Schweizer Zwiebeln gelb,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/15449/s/schweizer-zwiebeln-gelb-0083331/category/64/
Fairtrade Bio Bananen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12782/s/fairtrade-bio-bananen-0081510/category/64/
Schweizer Kohlrabi,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/13738/s/schweizer-kohlrabi-0082735/category/64/
Schweizer Fenchel,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/13691/s/schweizer-fenchel-0082690/category/64/
Granatapfel,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12901/s/granatapfel-0080646/category/64/
Ananas Extra sweet,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12895/s/ananas-extra-sweet-0080611/category/64/
Süsskartoffeln,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/12917/s/suesskartoffeln-0080755/category/64/
Schweizer Chicorée,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11844/s/schweizer-chicoree-0082015/category/64/
Schweizer Lauchzwiebeln,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11821/s/schweizer-lauchzwiebeln-0082236/category/64/
Zwiebeln rot,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11787/s/zwiebeln-rot-0083352/category/64/
Schweizer Zuckermais,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/21565/s/schweizer-zuckermais-0082862/category/64/
Schweizer Bio Auberginen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/21541/s/schweizer-bio-auberginen-0084397/category/64/
Pfirsiche,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/21521/s/pfirsiche-0080401/category/64/
Nektarinen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/21520/s/nektarinen-0080386/category/64/
Kirschen im Beutel,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/21511/s/kirschen-im-beutel-0080356/category/64/
Schweizer Kartoffeln,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/21416/s/schweizer-kartoffeln-0083205/category/64/
Basilikum im Topf XXL,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/21412/s/basilikum-im-topf-xxl-0083540/category/64/
Avocado,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/21369/s/avocado-0080737/category/64/
