sub_category_name,sub_category_url,product_name,website,product_price,image1,image2,image3,description,product_url
Hülsenfrüchte,https://sortiment.lidl.ch/de/obst-gemuse/hulsenfruchte,Ebly Zartweizen,lidl.ch,6.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/9/8998_PSXX.jpg,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/17137/s/ebly-zartweizen-0008998/category/149/
Hülsenfrüchte,https://sortiment.lidl.ch/de/obst-gemuse/hulsenfruchte,Bio Quinoa tricolore / weiss,lidl.ch,3.55,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/1/1/119437_Tricolore_PSXX.jpg,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/1/1/119437_Weiss_PSXX.jpg,,,https://sortiment.lidl.ch/de/catalog/product/view/id/12437/s/bio-quinoa-tricolore-weiss-0119437/category/149/
Hülsenfrüchte,https://sortiment.lidl.ch/de/obst-gemuse/hulsenfruchte,Bio Hülsenfrüchte,lidl.ch,1.89,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/1/1/119562_Erbsen_PSXX.jpg,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/1/1/119562_Kichererbsen_PSXX.jpg,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/1/1/119562_Linsen_PSXX.jpg,diverse Sorten,https://sortiment.lidl.ch/de/catalog/product/view/id/12412/s/bio-huelsenfruechte-0119562/category/149/
Früchte,https://sortiment.lidl.ch/de/obst-gemuese/obst,Pfirsiche,lidl.ch,2.99,,,,"Herkunft, variabel",https://sortiment.lidl.ch/de/catalog/product/view/id/21521/s/pfirsiche-0080401/category/150/
Früchte,https://sortiment.lidl.ch/de/obst-gemuese/obst,Nektarinen,lidl.ch,2.99,,,,"Herkunft, variabel",https://sortiment.lidl.ch/de/catalog/product/view/id/21520/s/nektarinen-0080386/category/150/
Früchte,https://sortiment.lidl.ch/de/obst-gemuese/obst,Kirschen im Beutel,lidl.ch,9.9,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80356_KirschenmitBeutel_PSXX.jpg,,,"Herkunft, variabel",https://sortiment.lidl.ch/de/catalog/product/view/id/21511/s/kirschen-im-beutel-0080356/category/150/
Früchte,https://sortiment.lidl.ch/de/obst-gemuese/obst,Avocado,lidl.ch,1.29,,,,"Herkunft, variabel",https://sortiment.lidl.ch/de/catalog/product/view/id/21369/s/avocado-0080737/category/150/
Früchte,https://sortiment.lidl.ch/de/obst-gemuese/obst,Schweizer Apfel grün,lidl.ch,2.19,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80189_OGAX.jpg,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/20970/s/schweizer-apfel-gruen-0080189/category/150/
Früchte,https://sortiment.lidl.ch/de/obst-gemuese/obst,Avocado,lidl.ch,1.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80620_OGAX.jpg,,,"Herkunft, variabel",https://sortiment.lidl.ch/de/catalog/product/view/id/20677/s/avocado-0080620/category/150/
Früchte,https://sortiment.lidl.ch/de/obst-gemuese/obst,Orangen,lidl.ch,4.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80144_OGAX.jpg,,,"Herkunft, variabel",https://sortiment.lidl.ch/de/catalog/product/view/id/20675/s/orangen-0080144/category/150/
