sub_category,brand_name,product_name,price,pdp_url,competitor_name
Depilacija in britje,PHILIPS OneBlade,"Brivnik OneBlade Intimate, 1 kos","24,95 €",https://www.dm.si/p/d/2722995/philips-oneblade-brivnik-oneblade-intimate,dm
Depilacija in britje,PHILIPS,"Trimer All-in-One 5000 10 v 1, 1 kos","49,95 €",https://www.dm.si/p/d/3103647/philips-trimer-all-in-one-5000-10-v-1,dm
Depilacija in britje,PHILIPS,"Brivnik za glavo Shaver Series 5000, 1 kos","69,95 €",https://www.dm.si/p/d/3127724/philips-brivnik-za-glavo-shaver-series-5000,dm
Depilacija in britje,PHILIPS,"Trimer All-in-One 7000 17 v 1, 1 kos","89,95 €",https://www.dm.si/p/d/3115312/philips-trimer-all-in-one-7000-17-v-1,dm
Depilacija in britje,PHILIPS,"Brivnik Shaver Series 5000X za mokro in suho..., 1 kos","79,95 €",https://www.dm.si/p/d/3109382/philips-brivnik-shaver-series-5000x-za-mokro-in-suho-britje,dm
Depilacija in britje,PHILIPS,"Urejevalnik brade 5000 BT5515, 1 kos","62,95 €",https://www.dm.si/p/d/3129776/philips-urejevalnik-brade-5000-bt5515,dm
Depilacija in britje,PHILIPS,"Brivnik za nosne in ušesne dlačice NT1000, 1 kos","16,95 €",https://www.dm.si/p/d/3107347/philips-brivnik-za-nosne-in-usesne-dlacice-nt1000,dm
Depilacija in britje,PHILIPS OneBlade,"Nadomestne glave za brivnik 360 blade, 1 kos","24,95 €",https://www.dm.si/p/d/1916523/philips-oneblade-nadomestne-glave-za-brivnik-360-blade,dm
Depilacija in britje,PHILIPS OneBlade,"Nadomestne glave za brivnik 360 blade, 3 kos","35,95 €",https://www.dm.si/p/d/1574418/philips-oneblade-nadomestne-glave-za-brivnik-360-blade,dm
Depilacija in britje,PHILIPS OneBlade,"Nadomestne glave za brivnik OneBlade Intimate, 2 kos","28,95 €",https://www.dm.si/p/d/2723004/philips-oneblade-nadomestne-glave-za-brivnik-oneblade-intimate,dm
Električni brivniki,PHILIPS OneBlade,"Brivnik OneBlade Intimate, 1 kos","24,95 €",https://www.dm.si/p/d/2722995/philips-oneblade-brivnik-oneblade-intimate,dm
Električni brivniki,PHILIPS,"Trimer All-in-One 5000 10 v 1, 1 kos","49,95 €",https://www.dm.si/p/d/3103647/philips-trimer-all-in-one-5000-10-v-1,dm
Električni brivniki,PHILIPS,"Brivnik za glavo Shaver Series 5000, 1 kos","69,95 €",https://www.dm.si/p/d/3127724/philips-brivnik-za-glavo-shaver-series-5000,dm
Električni brivniki,PHILIPS,"Trimer All-in-One 7000 17 v 1, 1 kos","89,95 €",https://www.dm.si/p/d/3115312/philips-trimer-all-in-one-7000-17-v-1,dm
Električni brivniki,PHILIPS,"Brivnik Shaver Series 5000X za mokro in suho..., 1 kos","79,95 €",https://www.dm.si/p/d/3109382/philips-brivnik-shaver-series-5000x-za-mokro-in-suho-britje,dm
