unique_id,sub_category,brand_name,product_name,price,currency,product_id,competitor_name,ingredients,Mandatory_information,company_address,manufactured_in,grammage_unit,grammage_quantity,rating,review_count,breadcrumb,pdp_url,scope_of_delivery,images,site_shown_uom,product_description
2722995,Depilacija in britje,PHILIPS OneBlade,"Brivnik OneBlade Intimate, 1 kos",24.95,EUR,8720689031660,dm,Indonezija  Navedene sestavine v spletni trgovini se lahko razlikujejo od tistih navedenih na embalaži ,,"Philips Consumer Lifestyle B.V. Tussendiepen 4, 9206 AD Drachten Netherlands",,kos,1,4.3,168,Nega in dišave > Depilacija in britje > Električni brivniki,https://www.dm.si/p/d/2722995/philips-oneblade-brivnik-oneblade-intimate,Vsebina:  1 × rezilo SkinProtect  1 × glavnik za oblikovanje  1 × brivnik  1 × USBA polnilni kabel,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747534786/assets/pas/images/a2682cf7-2d4a-42a8-b613-1178d63690f0/philips-oneblade-brivnik-oneblade-intimate, https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747535355/assets/pas/images/1faad77f-0716-4ea2-a4fd-8a7d9bf25a83/philips-oneblade-brivnik-oneblade-intimate, https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747534748/assets/pas/images/c7c8ef15-c2b9-40fc-bcb9-cf1f399bc665/philips-oneblade-brivnik-oneblade-intimate, https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747535360/assets/pas/images/182eca93-719f-460c-bce9-dd75c848e3df/philips-oneblade-brivnik-oneblade-intimate, https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747535360/assets/pas/images/670d0294-da79-42c5-8261-cf716a9f396b/philips-oneblade-brivnik-oneblade-intimate, https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747534752/assets/pas/images/4c427a96-72ec-4f8b-8525-d33679bbeeee/philips-oneblade-brivnik-oneblade-intimate, https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747535087/assets/pas/images/5bacc89e-7c09-4931-a1b1-63832ff73b4d/philips-oneblade-brivnik-oneblade-intimate",1 kos,"Brivnik za intimne predele in pazduhe  Rezilo SkinProtect za zaščito pred urezninami  Priložen 3 mm glavnik za prirezovanje  Primeren za mokro in suho uporabo  Polnilna baterija Philips OneBlade Intimate je zasnovan za varno in udobno urejanje občutljivih intimnih predelov in pazduh. Njegovo edinstveno rezilo SkinProtect z dodatno stopnjo zaščite preprečuje ureznine in se prilagaja vsaki oblini telesa. Priložen 3milimetrski glavnik omogoča enostavno in hitro prirezovanje dlačic v kateri koli smeri. Brivnik je primeren za mokro in suho uporabo, za optimalno delovanje pa priporočamo menjavo rezila vsake 4 mesece. Z brivnikom Philips OneBlade Intimate dosežite popolno urejenost brez kompromisov."
3103647,Depilacija in britje,PHILIPS,"Trimer All-in-One 5000 10 v 1, 1 kos",49.95,EUR,8720689045360,dm,Navedene sestavine v spletni trgovini se lahko razlikujejo od tistih navedenih na embalaži ,Informacije o odstranjevanju odpadne električne in elektronske opreme,"Philips Consumer Lifestyle B.V. Tussendiepen 4, 9206 AD Drachten Netherlands",Proizvedeno v Indoneziji.,kos,1,4.5,291,Nega in dišave > Depilacija in britje > Električni brivniki,https://www.dm.si/p/d/3103647/philips-trimer-all-in-one-5000-10-v-1,"Vsebina:  1 × kovinski prirezovalnik  1 × prirezovalnik za nos/ušesa  1 × natančni prirezovalnik  1 × nastavljivi glavnik za brado (3–7 mm)  2 × glavnik za neobrit videz (1 mm, 2 mm)  3 × glavnik za lase (9 mm, 12 mm, 16 mm)  1 × glavnik za telo (3 mm)  1 × USBA kabel za polnjenje (adapter ni priložen)","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1760425971/assets/pas/images/0641cde7-a201-4cd0-93a6-bc46cdc8d595/philips-trimer-all-in-one-5000-10-v-1, https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1760425964/assets/pas/images/77a97ce7-bd9a-4bd7-9ce7-60e63f4e1ac0/philips-trimer-all-in-one-5000-10-v-1",1 kos,"Večnamenski urejevalnik 10 v 1  Tehnologija BeardSense za enakomerno prirezovanje  Samoostrilna jeklena rezila  Do 120 minut delovanja baterije  Za urejanje obraza, las in telesa Philips AllinOne trimer 5000 10 v 1 je vsestranski pripomoček, ki z enim orodjem omogoča popolno urejanje obraza, las in telesa. Z desetimi kakovostnimi nastavki lahko enostavno uredite svojo brado, lase in dlake po telesu. Samoostrilna jeklena rezila zagotavljajo dolgotrajno delovanje in natančnost, ne da bi jih bilo treba oljiti. Inovativna tehnologija BeardSense 125krat na sekundo preverja gostoto brade in po potrebi poveča moč za učinkovito prirezovanje tudi najgostejših predelov. Z avtonomijo delovanja do 120 minut je večnamenski urejevalnik Philips vedno pripravljen na uporabo."
3127724,Depilacija in britje,PHILIPS,"Brivnik za glavo Shaver Series 5000, 1 kos",69.95,EUR,8720689044264,dm,Navedene sestavine v spletni trgovini se lahko razlikujejo od tistih navedenih na embalaži ,Informacije o odstranjevanju odpadne električne in elektronske opreme,"Philips Consumer Lifestyle B.V. Tussendiepen 4, 9206 AD Drachten Netherlands https://www.philips.si/c-w/podpora/support-contact-page.html",Proizvedeno na Kitajskem.,kos,1,4.77,56,Nega in dišave > Depilacija in britje > Električni brivniki,https://www.dm.si/p/d/3127724/philips-brivnik-za-glavo-shaver-series-5000,Vsebina:  1 × brivnik  1 × mehka torbica  1 × zaščitni pokrov  1 × USBA kabel za polnjenje (adapter ni priložen),"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1771402948/assets/pas/images/d8d9f2d2-3b81-46ce-827b-0a164ebe542d/philips-brivnik-za-glavo-shaver-series-5000, https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1776812781/assets/pas/images/afa61e50-d6d1-4d06-8f51-7e872df78c47/philips-brivnik-za-glavo-shaver-series-5000, https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1770647003/assets/pas/images/038943b1-e861-457a-8aef-222fce8c2075/philips-brivnik-za-glavo-shaver-series-5000",1 kos,"Brivnik za temeljito britje glave  Prilagodljiva 360° brivna glava  Samoostrilna rezila ComfortCut  Senzor PowerAdapt prilagaja moč britja  Za mokro in suho uporabo Philips brivnik za glavo Shaver Series 5000 omogoča temeljito in hkrati koži prijazno britje glave. Njegova prilagodljiva 360° brivna glava se optimalno prilagaja obliki glave in zagotavlja enakomeren stik s kožo tudi na težje dostopnih mestih. ComfortCut rezila učinkovito odrežejo dlake tik nad površino kože za gladke rezultate. Inteligentni senzor PowerAdapt samodejno prilagaja moč gostoti dlak za britje brez napora. Brivnik za glavo Philips je popolnoma vodoodporen in primeren za suho ali mokro britje, tudi pod prho. Vgrajen sistem za zbiranje dlak pa poskrbi za čisto uporabo."
3115312,Depilacija in britje,PHILIPS,"Trimer All-in-One 7000 17 v 1, 1 kos",89.95,EUR,8720689044950,dm,Navedene sestavine v spletni trgovini se lahko razlikujejo od tistih navedenih na embalaži ,Informacije o odstranjevanju odpadne električne in elektronske opreme,"Philips Consumer Lifestyle B.V. Tussendiepen 4, 9206 AD Drachten Netherlands",Proizvedeno v Indoneziji.,kos,1,4.68,809,Nega in dišave > Nega za moške > Depilacija in britje,https://www.dm.si/p/d/3115312/philips-trimer-all-in-one-7000-17-v-1,"Vsebina:  1 × kovinski prirezovalnik  1 × prirezovalnik za nos/ušesa  1 × natančni prirezovalnik  1 × premium glavnik za natančno oblikovanje  1 × nastavljivi glavnik (3–7 mm)  1 × nastavljivi glavnik (9–13 mm)  1 × glavnik za obrvi  1 × ekstra širok strižnik  4 × širok strižnik (4 mm, 9 mm, 12 mm, 16 mm)  1 × prirezovalnik za telo  1 × glavnik za telo (3 mm)  1 × prirezovalnik za intimne predel  1 × potovalna torbica  1 × USBA kabel za polnjenje (adapter ni priložen)","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1763763651/assets/pas/images/abf38791-402b-4222-b6fc-fc4d2a3dd99d/philips-trimer-all-in-one-7000-17-v-1, https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1763763642/assets/pas/images/97f2d82a-e3cf-4e8f-81a3-09764cb2c333/philips-trimer-all-in-one-7000-17-v-1",1 kos,"Večnamenski urejevalnik 17 v 1  Vrhunski natančni glavnik z 22 nastavitvami dolžine  Tehnologija BeardSense za enakomerno prirezovanje  Samoostrilna jeklena rezila za dolgotrajno ostrino  Do 120 minut brezžične uporabe Philips AllinOne trimer 7000 17 v 1 je vsestranski urejevalnik, ki z enim samim orodjem zagotavlja vrhunsko natančnost pri urejanju obraza, las in telesa. S kar 17 kakovostnimi nastavki pokriva vse vaše potrebe po urejanju. Za izjemen nadzor poskrbi vrhunski natančni glavnik z 22 nastavitvami dolžine od 0,5 do 16 mm. Samoostrilna jeklena rezila ostanejo ostra kot prvi dan, tehnologija BeardSense pa zagotavlja enakomerno prirezovanje. Z avtonomijo delovanja do 120 minut večnamenski urejevalnik Philips 7000 omogoča popolno svobodo pri oblikovanju vašega videza."
3109382,Depilacija in britje,PHILIPS,"Brivnik Shaver Series 5000X za mokro in suho..., 1 kos",79.95,EUR,8720689029155,dm,Navedene sestavine v spletni trgovini se lahko razlikujejo od tistih navedenih na embalaži ,Informacije o odstranjevanju odpadne električne in elektronske opreme,"Philips Consumer Lifestyle B.V. Tussendiepen 4, 9206 AD Drachten Netherlands",Proizvedeno na Kitajskem.,kos,1,4.47,57,Nega in dišave > Depilacija in britje > Električni brivniki,https://www.dm.si/p/d/3109382/philips-brivnik-shaver-series-5000x-za-mokro-in-suho-britje,,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1760425976/assets/pas/images/f36e7b0d-7ee1-49e6-acc0-3de8c2c6d7d9/philips-brivnik-shaver-series-5000x-za-mokro-in-suho-britje, https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1760425964/assets/pas/images/eb0b8cc4-fe4c-4361-b721-22e1b9f44d5b/philips-brivnik-shaver-series-5000x-za-mokro-in-suho-britje",1 kos,"Električni brivnik za mokro in suho britje  Zaščitna prevleka SkinGlide zmanjšuje draženje kože**  Popolnoma prilagodljive 360° brivne glave  Rezila ComfortCut iz hipoalergenega jekla  Do 50 minut brezžičnega britja Philips brivnik Shaver Series 5000X z napredno tehnologijo Skin Protect je zasnovan za gladko britje z dodatno zaščito kože. Njegova zaščitna prevleka SkinGlide zmanjšuje trenje in s tem draženje kože**. Popolnoma prilagodljiva 360stopinjska brivna glava zagotavlja optimalen stik s kožo tudi na težje dostopnih predelih. Rezila ComfortCut so izdelana iz hipoalergenega kirurškega jekla in so odporna proti rjavenju. Ta brivnik Philips je primeren tako za suho kot mokro britje, kar omogoča uporabo s peno, gelom ali pod prho za dodatno udobje.**V primerjavi z materialom brez premaza."
3129776,Depilacija in britje,PHILIPS,"Urejevalnik brade 5000 BT5515, 1 kos",62.95,EUR,8720689034203,dm,Navedene sestavine v spletni trgovini se lahko razlikujejo od tistih navedenih na embalaži ,Informacije o odstranjevanju odpadne električne in elektronske opreme,"Philips Consumer Lifestyle B.V. Tussendiepen 4, 9206 AD Drachten Netherlands https://www.philips.si/c-w/podpora/support-contact-page.html",Proizvedeno v Indoneziji.,kos,1,4.47,45,Nega in dišave > Nega za moške > Depilacija in britje,https://www.dm.si/p/d/3129776/philips-urejevalnik-brade-5000-bt5515,"Vsebina:  1 × kovinski prirezovalnik  1 × krajši glavnik (0,410 mm)  1 × dolgi glavnik (10,420 mm)  1 zbiralnik dlak  1 × polnilna postaja  1 × USBA kabel za polnjenje (adapter ni priložen)","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1771411100/assets/pas/images/9a56326a-a1b4-4185-8c8a-2acb15dd62ee/philips-urejevalnik-brade-5000-bt5515, https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1771411122/assets/pas/images/80b22a0b-fa28-4307-a10c-153939b40b2d/philips-urejevalnik-brade-5000-bt5515",1 kos,"Prirezovalnik brade za natančno urejanje  Zbiralnik dlačic ujame do 80 % dlak*  40 nastavitev dolžine v korakih po 0,2 mm  Tehnologija BeardSense za enakomerno prirezovanje  Samoostrilna kovinska rezila Philips urejevalnik brade 5000 BT5515 zagotavlja vrhunsko natančnost in enostavno urejanje brez nereda. Njegov inovativni zbiralnik dlačic med prirezovanjem učinkovito ujame do 80 % odrezanih dlak*. Za popolno oblikovanje brade poskrbi natančen gumb s 40 nastavitvami dolžine v korakih po 0,2 mm. Samoostrilna kovinska rezila ostanejo ostra kot prvi dan in ne potrebujejo olja, tehnologija BeardSense pa poveča moč na gostejših predelih. Z avtonomijo delovanja do 100 minut prirezovalnik Philips 5000 omogoča brezskrbno urejanje.*Testirano v laboratorijskih pogojih."
3101245,Depilacija in britje,PHILIPS,"Ženski brivnik Body Shaver 6000, 1 kos",29.95,EUR,8720689038256,dm,Navedene sestavine v spletni trgovini se lahko razlikujejo od tistih navedenih na embalaži ,Informacije o odstranjevanju odpadne električne in elektronske opreme,"Philips Consumer Lifestyle B.V. Tussendiepen 4, 9206 AD Drachten Netherlands",,kos,1,4.47,288,Nega in dišave > Depilacija in britje > Električni brivniki,https://www.dm.si/p/d/3101245/philips-zenski-brivnik-body-shaver-6000,,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1770731619/assets/pas/images/726a1f4f-98a9-4bd7-8c85-1bffaed07920/philips-zenski-brivnik-body-shaver-6000, https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1770731611/assets/pas/images/2611d344-136a-48e7-8d25-549ded4ede61/philips-zenski-brivnik-body-shaver-6000",1 kos,"Brivnik za telo za mokro in suho uporabo  Sistem s 3 rezili in dvostranskim prirezovalnikom  Do 80 minut brezžične uporabe  Zaobljene konice prirezovalnika za zaščito kože  Ergonomsko držalo za lažjo uporabo PHILIPS ženski električni brivnik Body Shaver 6000 zagotavlja nežno in temeljito britje po celem telesu. Z naprednim sistemom s tremi rezili in dvostranskim prirezovalnikom omogoča hitre rezultate v obe smeri, kar je idealno tako za celotno britje telesa kot za hitro osvežitev. Zaobljene, patentirane konice prirezovalnika učinkovito preprečujejo ureznine, tudi na občutljivih predelih, kot so pazduhe ali bikini predel. Brivnik se prilagaja različnim delom telesa in nudi brezžično prilagodljivost. Z enim polnjenjem deluje do 80 minut, zato je Philips električni brivnik za telo popoln za uporabo doma ali na poti."
3107347,Depilacija in britje,PHILIPS,"Brivnik za nosne in ušesne dlačice NT1000, 1 kos",16.95,EUR,8710103932512,dm,Navedene sestavine v spletni trgovini se lahko razlikujejo od tistih navedenih na embalaži ,Informacije o odstranjevanju odpadne električne in elektronske opreme,"Philips Consumer Lifestyle B.V. Tussendiepen 4, 9206 AD Drachten Netherlands",,kos,1,4.12,25,Nega in dišave > Nega za moške > Depilacija in britje,https://www.dm.si/p/d/3107347/philips-brivnik-za-nosne-in-usesne-dlacice-nt1000,,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1762552881/assets/pas/images/d933411e-a347-4836-8c81-c6b72b2129d3/philips-brivnik-za-nosne-in-usesne-dlacice-nt1000, https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1771457616/assets/pas/images/6affda77-eb4a-4b2e-835e-d1f1025dfd82/philips-brivnik-za-nosne-in-usesne-dlacice-nt1000, https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1771457609/assets/pas/images/e9f08b73-5146-4ef7-8823-e5bfd2231999/philips-brivnik-za-nosne-in-usesne-dlacice-nt1000",1 kos,"Brivnik za nosne in ušesne dlačice  Nežno in učinkovito prirezovanje  Sistem Protective Guard preprečuje ureznine  Popolnoma pralen za enostavno čiščenje  Priložena AA baterija Philips brivnik za nosne in ušesne dlačice serije 1000 omogoča nežno in učinkovito odstranjevanje neželenih dlačic. S tehnologijo PrecisionTrim in sistemom Protective Guard je prirezovanje enostavno, brez neprijetnega cukanja ali zatikanja. Inovativni dvostranski prirezovalnik zagotavlja hitro in natančno prirezovanje pod vsakim kotom. Teksturiran ročaj omogoča optimalen oprijem, tudi ko je moker, kar zagotavlja boljši nadzor med uporabo. Brivnik je popolnoma pralen, kar omogoča enostavno čiščenje in vzdrževanje. S priloženo AA baterijo je Philips brivnik takoj pripravljen za uporabo."
2030640,Depilacija in britje,PHILIPS OneBlade,"Električni brivnik 1st shave, 1 kos",24.95,EUR,8720689021180,dm,Navedene sestavine v spletni trgovini se lahko razlikujejo od tistih navedenih na embalaži ,Informacije o odstranjevanju odpadne električne in elektronske opreme,"Philips Consumer Lifestyle B.V. Tussendiepen 4, 9206 AD Drachten Netherlands",,kos,1,4.61,108,Nega in dišave > Depilacija in britje > Električni brivniki,https://www.dm.si/p/d/2030640/philips-oneblade-elektricni-brivnik-1st-shave,,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747534958/assets/pas/images/ff694ae8-b216-475c-8925-c44376bf1503/philips-oneblade-elektricni-brivnik-1st-shave, https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747534921/assets/pas/images/4d8bfd3c-8137-4b18-96d0-e3f36ea554fc/philips-oneblade-elektricni-brivnik-1st-shave",1 kos,"Električni brivnik z rezilom proti trenju  Dvostransko rezilo za natančno britje  Mokra in suha uporaba  Rezilo zdrži do 4 mesece  30 minut delovanja z NiMH baterijo Philips OneBlade 1st shave električni brivnik je zasnovan za udobno in učinkovito britje. Rezilo z mikro steklenimi kroglicami zmanjšuje trenje in omogoča gladko drsenje za manj draženja. Dvostransko rezilo in dvojni zaščitni sistem zagotavljata natančnost in varnost. Primeren je za mokro in suho uporabo, rezilo pa zdrži do 4 mesece. Z NiMH baterijo omogoča do 30 minut delovanja. Odkrijte novo raven britja."
2030642,Depilacija in britje,PHILIPS OneBlade,"Nadomestne glave za brivnik 1st shave, 2 kos",25.80,EUR,8720689003087,dm,Navedene sestavine v spletni trgovini se lahko razlikujejo od tistih navedenih na embalaži ,,"Philips Consumer Lifestyle B.V. Tussendiepen 4, 9206 AD Drachten Netherlands",,kos,1,4.53,297,Nega in dišave > Depilacija in britje > Električni brivniki,https://www.dm.si/p/d/2030642/philips-oneblade-nadomestne-glave-za-brivnik-1st-shave,,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747534934/assets/pas/images/db79c274-bc15-48d1-9227-689c32bae140/philips-oneblade-nadomestne-glave-za-brivnik-1st-shave, https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_440,w_500/v1747535151/assets/pas/images/0e082827-ff6f-4398-aa30-707a1c094ff8/philips-oneblade-nadomestne-glave-za-brivnik-1st-shave",1 kos,"Nadomestne glave z rezilom proti trenju  Dolgotrajna uporaba – do 4 mesece na rezilo  Mokra in suha uporaba  Zmanjšujejo trenje in draženje kože  Združljive z vsemi OneBlade izdelki Nadomestne glave za brivnik Philips OneBlade 1st shave zagotavljajo gladko in udobno britje. Rezila z mikro steklenimi kroglicami zmanjšujejo trenje in draženje kože. Vsako rezilo zdrži do 4 mesece, kar omogoča dolgotrajno uporabo. Primerne so za mokro in suho britje ter se prilegajo vsem OneBlade brivnikom. Poskrbite za brezhibno britje z zanesljivimi nadomestnimi rezili."
