unique_id,cateogry_name,brand,product_name,Country_of_production,regular_price,diet_tags,diet_attributes,pack_size,package_type,weight,ingredients,price_per_unit,images,nutrition,manufacturersAddress,Phone_no,address,email,variety,breadcrumbs,pdp_url,describition,Unit_of_Measure,competitor_name
00-89414,"Äpfel, Birnen & Trauben",,Trauben weiß kernlos,"Ägypten, Indien",2.99,"pp-veget,pp-vegan",,500g,Packung,0.516,,5.98,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-89414-1464299862-5aEkSi8x.jpg,"Energie: 71.0 kcal, Energie: 297.0 kJ, Fett: 0.3 g, davon gesättigte Fettsäuren: 0.118 g, Kohlenhydrate: 15.6 g, davon Zucker: 0.437 g, Eiweiß: 0.7 g, Salz: 0.005 g",,,,,div. kernlose Sorten,"Obst & Gemüse > Obst > Äpfel, Birnen & Trauben",https://shop.billa.at/produkte/trauben-weiss-kernlos-0089414,"diverse kernlose Sorten - Güteklasse: I Weintrauben erfreuen sich großer Beliebtheit. Die weißen kernlosen Trauben sind ein gesunder Snack oder passen zu einem herzhaften Kaseteller und spenden reichlich Vitamine. kernlos und frisch, sehr saftig, nahrstoff- und vitaminreich",kg,Billa
00-431081,"Äpfel, Birnen & Trauben",Ja! Natürlich,Ja! Natürlich Apfel Tasse rot,Österreich,3.04,"pp-veget,pp-vegan,pp-bio,homecountry","Glutenfrei - Spezifiziert als geeignet für eine glutenfreie Diät, Vegetarisch - Ohne Fleisch, Fisch oder andere tierische Produkte, Vegan - Ohne Milchprodukte und tierische Inhaltsstoffe",1kg,Tasse,1.0,,3.04,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-431081-0275194093-ImRiFZkz.jpg,,"Ja! Natürlich Naturprodukte Gesellschaft m.b.H., Postfach 2000, A-2355 Wr. Neudorf",+43 2236 600 6950,"Postfach 2000, A-2355 Wr. Neudorf",info@janatuerlich.at,"div. Sorten
","Obst & Gemüse > Obst > Äpfel, Birnen & Trauben",https://shop.billa.at/produkte/ja-natuerlich-apfel-tasse-rot-00431081,"Der rote Bio-Apfel in der Tasse aus Osterreich in ausgezeichneter Bio-Qualitat von Ja! Naturlich schmeckt erntefrisch, saftig und wunderbar fruchtig. regionale Herkunft von Ja! Naturlich",kg,Billa
00-429155,"Äpfel, Birnen & Trauben",,Plattpfirsiche,Spanien,2.37,,,500g,Tasse,0.516,,4.74,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-429155-903708697-FfW_iwyw.jpg,,"EUROGROUP ITALIA SRL, Via Sommacampagna 63/h, 37137 Verona Italien",,"Via Sommacampagna 63/h, 37137 Verona Italien",,weiß- und gelbfleischig,"Obst & Gemüse > Obst > Äpfel, Birnen & Trauben",https://shop.billa.at/produkte/plattpfirsiche-00429155,weiß- und gelbfleischig - Güteklasse: I,kg,Billa
00-89280,"Äpfel, Birnen & Trauben",CLEVER,Clever Apfel rot,"Italien, Ungarn, Österreich",3.32,"pp-veget,pp-vegan",,2kg,Sack,2.02,,1.66,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-89280-1720891767-ZNtLPmR8.jpg,"Energie: 237.0 kJ, Energie: 56.0 kcal, Fett: 0.6 g, davon gesättigte Fettsäuren: 0.1 g, Kohlenhydrate: 11.0 g, davon Zucker: 10.0 g, Ballaststoffe: 2.0 g, Eiweiß: 0.5 g, Salz: 0.0 g, Natrium: 0.0 g","BILLA AG, Billa AG, IZ NÖ Süd, Straße 3, Objekt 16, 2355 Wr. Neudorf",0800 828 700,"Billa AG, IZ NÖ Süd, Straße 3, Objekt 16, 2355 Wr. Neudorf",kundenservice@billa.at,div. rote Sorten (exkl. Red Delicious),"Obst & Gemüse > Obst > Äpfel, Birnen & Trauben",https://shop.billa.at/produkte/clever-apfel-rot-0089280,"Klasse I Obst ist ein wichtiger Vitaminlieferant, der auch noch köstlich schmeckt! Also greifen Sie zu und gönnen Sie sich eine extra Portion Vitamine!, Süß und saftig, AMA-zertifiziert, ideal zum Kochen oder Rohverzehr",kg,Billa
00-405960,"Äpfel, Birnen & Trauben",,Blaue Trauben kernlos,"Chile, Ägypten, Südafrika, Indien",2.99,"pp-veget,pp-vegan",,500g,Packung,0.516,,5.98,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-405960-0102295898-cuoFfWUs.jpg,"Energie: 71.0 kcal, Energie: 297.0 kJ, Fett: 0.3 g, davon gesättigte Fettsäuren: 0.118 g, Kohlenhydrate: 15.6 g, davon Zucker: 0.437 g, Eiweiß: 0.7 g, Salz: 0.005 g",,,,,div. kernlose Sorten,"Obst & Gemüse > Obst > Äpfel, Birnen & Trauben",https://shop.billa.at/produkte/blaue-trauben-kernlos-00405960,"diverse kernlose Sorten - Güteklasse: I Die kernlosen roten Trauben bereichern jedes Picknick, sind eine süße und gesunde Nascherei und passen hervorragend zum Kaseteller. saftig und süß, ohne Kerne, wenig Kalorien, viele Vitamine",kg,Billa
00-804413,"Äpfel, Birnen & Trauben",Wunderlinge,Wunderlinge Äpfel,Österreich,2.85,"pp-veget,pp-vegan,homecountry",,2kg,Netz,2.01,,1.43,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-804413-0207556058-kOSU9dPD.jpg,"Energie: 52.0 kcal, Energie: 217.0 kJ, Fett: 0.4 g, davon gesättigte Fettsäuren: 0.094 g, Kohlenhydrate: 11.43 g, davon Zucker: 2.549 g, Eiweiß: 0.34 g, Salz: 0.008 g","Billa AG, Postfach 2000, 2355 Wiener Neudorf",,"Postfach 2000, 2355 Wiener Neudorf",,"div. Sorten
","Obst & Gemüse > Obst > Äpfel, Birnen & Trauben",https://shop.billa.at/produkte/wunderlinge-aepfel-00804413,Klasse II,kg,Billa
00-89316,"Äpfel, Birnen & Trauben",CLEVER,Clever Birnen,"Österreich, Spanien",2.37,"pp-veget,pp-vegan",,1kg,Becher,1.016,,2.37,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-89316-01479017102-WH0ZB_dn.jpg,"Energie: 52.0 kcal, Energie: 219.0 kJ, Fett: 0.3 g, davon gesättigte Fettsäuren: 0.025 g, Kohlenhydrate: 12.4 g, davon Zucker: 1.81 g, Eiweiß: 0.5 g, Salz: 0.005 g","BILLA AG, Billa AG, IZ NÖ Süd, Straße 3, Objekt 16, 2355 Wr. Neudorf",0800 828 700,"Billa AG, IZ NÖ Süd, Straße 3, Objekt 16, 2355 Wr. Neudorf",kundenservice@billa.at,div. Sorten,"Obst & Gemüse > Obst > Äpfel, Birnen & Trauben",https://shop.billa.at/produkte/clever-birnen-0089316,"div. Sorten - Klasse:I Die clever Birnen sind der ideale Vitaminlieferant und schmecken köstlich süß- essen Sie sie roh, oder probieren Sie es mal mit einem köstlichen Birnenstrudel. Süß und saftig, Vitaminreich",kg,Billa
00-364527,"Äpfel, Birnen & Trauben",Da komm ich her!,Da komm ich her! 'Gala' Apfel Tasse rot,Österreich,2.85,"pp-veget,pp-vegan,homecountry",,1kg,Tasse,1.0,,2.85,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-364527-95423501-KB2Df0Jy.jpg,,,,,,Gala,"Obst & Gemüse > Obst > Äpfel, Birnen & Trauben",https://shop.billa.at/produkte/da-komm-ich-her-gala-apfel-tasse-rot-00364527,Gala - Güteklasse: I,kg,Billa
00-89243,"Äpfel, Birnen & Trauben",,Apfel 'Pink Lady' Tasse,"Chile, Italien, Südafrika",3.04,"pp-veget,pp-vegan",,900g,Tasse,0.916,,3.38,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-89243-1573003034-xe67tA5u.jpg,"Energie: 52.0 kcal, Energie: 217.0 kJ, Fett: 0.4 g, davon gesättigte Fettsäuren: 0.094 g, Kohlenhydrate: 11.43 g, davon Zucker: 2.549 g, Eiweiß: 0.34 g, Salz: 0.008 g",,,,,Cripps Pink,"Obst & Gemüse > Obst > Äpfel, Birnen & Trauben",https://shop.billa.at/produkte/apfel-pink-lady-tasse-0089243,Cripps Pink - Güteklasse: I,kg,Billa
00-368890,"Äpfel, Birnen & Trauben",Ja! Natürlich,Ja! Natürlich Bio Apfel 'Topaz' gelegt,Österreich,3.04,"pp-veget,pp-vegan,gs-bio,gs-gentech,pp-bio,homecountry",,1kg,Kilo,1.0,,3.04,https://images.cdn.europe-west1.gcp.commercetools.com/723b2575-66c7-4d92-ae49-82bf1d168d26/00-368890-1305402426-FKDgDzkx.jpg,,"Ja! Natürlich Naturprodukte Gesellschaft m.b.H., Postfach 2000, A-2355 Wr. Neudorf",+43 2236 600 6950,"Postfach 2000, A-2355 Wr. Neudorf",info@janatuerlich.at,Topaz,"Obst & Gemüse > Obst > Äpfel, Birnen & Trauben",https://shop.billa.at/produkte/ja-natuerlich-bio-apfel-topaz-gelegt-00368890,"Klasse II Qualität aus ökologischem Anbau: Mit dem Bio-Apfel Topaz von Ja! Natürlich entscheiden Sie sich für gesunden Genuss und unterstützen die regionale Landwirtschaft. beste Bio-Qualität, aus österreichischem Anbau, frisch und vitaminreich Der Ja! Natürlich Bio-Topaz Apfel ist eine Kreuzung aus den Sorten Rubin und Vanda. Er ist deshalb besonders knackig und saftig und schmeckt säuerlich-süß.",kg,Billa
