name,price,link,stock_availability,rating
A Light in the Attic,51.77,https://books.toscrape.com/a-light-in-the-attic_1000/index.html,In stock,Three
Tipping the Velvet,53.74,https://books.toscrape.com/tipping-the-velvet_999/index.html,In stock,One
Soumission,50.10,https://books.toscrape.com/soumission_998/index.html,In stock,One
Sharp Objects,47.82,https://books.toscrape.com/sharp-objects_997/index.html,In stock,Four
Sapiens: A Brief History of Humankind,54.23,https://books.toscrape.com/sapiens-a-brief-history-of-humankind_996/index.html,In stock,Five
The Requiem Red,22.65,https://books.toscrape.com/the-requiem-red_995/index.html,In stock,One
The Dirty Little Secrets of Getting Your Dream Job,33.34,https://books.toscrape.com/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,In stock,Four
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,https://books.toscrape.com/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,In stock,Three
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.60,https://books.toscrape.com/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,In stock,Four
The Black Maria,52.15,https://books.toscrape.com/the-black-maria_991/index.html,In stock,One
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,https://books.toscrape.com/starving-hearts-triangular-trade-trilogy-1_990/index.html,In stock,Two
Shakespeare's Sonnets,20.66,https://books.toscrape.com/shakespeares-sonnets_989/index.html,In stock,Four
Set Me Free,17.46,https://books.toscrape.com/set-me-free_988/index.html,In stock,Five
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,https://books.toscrape.com/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,In stock,Five
Rip it Up and Start Again,35.02,https://books.toscrape.com/rip-it-up-and-start-again_986/index.html,In stock,Five
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,https://books.toscrape.com/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,In stock,Three
Olio,23.88,https://books.toscrape.com/olio_984/index.html,In stock,One
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,https://books.toscrape.com/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,In stock,One
Libertarianism for Beginners,51.33,https://books.toscrape.com/libertarianism-for-beginners_982/index.html,In stock,Two
It's Only the Himalayas,45.17,https://books.toscrape.com/its-only-the-himalayas_981/index.html,In stock,Two
In Her Wake,12.84,https://books.toscrape.com/in-her-wake_980/index.html,In stock,One
How Music Works,37.32,https://books.toscrape.com/how-music-works_979/index.html,In stock,Two
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,https://books.toscrape.com/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,In stock,Three
Chase Me (Paris Nights #2),25.27,https://books.toscrape.com/chase-me-paris-nights-2_977/index.html,In stock,Five
Black Dust,34.53,https://books.toscrape.com/black-dust_976/index.html,In stock,Five
Birdsong: A Story in Pictures,54.64,https://books.toscrape.com/birdsong-a-story-in-pictures_975/index.html,In stock,Three
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.50,https://books.toscrape.com/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,In stock,Three
Aladdin and His Wonderful Lamp,53.13,https://books.toscrape.com/aladdin-and-his-wonderful-lamp_973/index.html,In stock,Three
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.30,https://books.toscrape.com/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,In stock,Five
Wall and Piece,44.18,https://books.toscrape.com/wall-and-piece_971/index.html,In stock,Four
The Four Agreements: A Practical Guide to Personal Freedom,17.66,https://books.toscrape.com/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,In stock,Five
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,https://books.toscrape.com/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,In stock,Three
The Elephant Tree,23.82,https://books.toscrape.com/the-elephant-tree_968/index.html,In stock,Five
The Bear and the Piano,36.89,https://books.toscrape.com/the-bear-and-the-piano_967/index.html,In stock,One
Sophie's World,15.94,https://books.toscrape.com/sophies-world_966/index.html,In stock,Five
Penny Maybe,33.29,https://books.toscrape.com/penny-maybe_965/index.html,In stock,Three
Maude (1883-1993):She Grew Up with the country,18.02,https://books.toscrape.com/maude-1883-1993she-grew-up-with-the-country_964/index.html,In stock,Two
"In a Dark, Dark Wood",19.63,https://books.toscrape.com/in-a-dark-dark-wood_963/index.html,In stock,One
Behind Closed Doors,52.22,https://books.toscrape.com/behind-closed-doors_962/index.html,In stock,Four
You can't bury them all: Poems,33.63,https://books.toscrape.com/you-cant-bury-them-all-poems_961/index.html,In stock,Two
Slow States of Collapse: Poems,57.31,https://books.toscrape.com/slow-states-of-collapse-poems_960/index.html,In stock,Three
Reasons to Stay Alive,26.41,https://books.toscrape.com/reasons-to-stay-alive_959/index.html,In stock,Two
Private Paris (Private #10),47.61,https://books.toscrape.com/private-paris-private-10_958/index.html,In stock,Five
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,https://books.toscrape.com/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,In stock,Five
Without Borders (Wanderlove #1),45.07,https://books.toscrape.com/without-borders-wanderlove-1_956/index.html,In stock,Two
When We Collided,31.77,https://books.toscrape.com/when-we-collided_955/index.html,In stock,One
"We Love You, Charlie Freeman",50.27,https://books.toscrape.com/we-love-you-charlie-freeman_954/index.html,In stock,Five
Untitled Collection: Sabbath Poems 2014,14.27,https://books.toscrape.com/untitled-collection-sabbath-poems-2014_953/index.html,In stock,Four
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,https://books.toscrape.com/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,In stock,Four
Unicorn Tracks,18.78,https://books.toscrape.com/unicorn-tracks_951/index.html,In stock,Three
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,https://books.toscrape.com/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,In stock,One
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,https://books.toscrape.com/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,In stock,One
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,https://books.toscrape.com/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,In stock,Three
This One Summer,19.49,https://books.toscrape.com/this-one-summer_947/index.html,In stock,Four
Thirst,17.27,https://books.toscrape.com/thirst_946/index.html,In stock,Five
The Torch Is Passed: A Harding Family Story,19.09,https://books.toscrape.com/the-torch-is-passed-a-harding-family-story_945/index.html,In stock,One
The Secret of Dreadwillow Carse,56.13,https://books.toscrape.com/the-secret-of-dreadwillow-carse_944/index.html,In stock,One
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,https://books.toscrape.com/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,In stock,One
The Past Never Ends,56.50,https://books.toscrape.com/the-past-never-ends_942/index.html,In stock,Four
The Natural History of Us (The Fine Art of Pretending #2),45.22,https://books.toscrape.com/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,In stock,Three
The Nameless City (The Nameless City #1),38.16,https://books.toscrape.com/the-nameless-city-the-nameless-city-1_940/index.html,In stock,Four
The Murder That Never Was (Forensic Instincts #5),54.11,https://books.toscrape.com/the-murder-that-never-was-forensic-instincts-5_939/index.html,In stock,Three
